Open Price,Low Price,High Price,Close Price,Change Amount,Change Percent,Gregorian Date,Persian Date
582082,537970,589125,543405,11960,2.2%,2023/03/01,1401/12/10
579128,547923,591115,555365,11805,2.17%,2023/02/28,1401/12/09
580287,536982,585335,543560,12402,2.28%,2023/02/27,1401/12/08
580663,552793,585134,555962,11410,2.1%,2023/02/26,1401/12/07
578727,536764,585903,544552,20603,3.78%,2023/02/25,1401/12/06
560411,553181,581486,574705,5035,0.88%,2023/02/22,1401/12/03
526790,526130,540780,537450,10020,1.9%,2023/02/21,1401/12/02
527060,525220,528230,527430,780,0.15%,2023/02/20,1401/12/01
520420,520420,530280,528210,18200,3.57%,2023/02/19,1401/11/30
505510,505510,511390,510010,4892,0.97%,2023/02/16,1401/11/27
494757,485158,514866,505118,1298,0.26%,2023/02/14,1401/11/25
489620,489620,495780,492220,3140,0.64%,2023/02/13,1401/11/24
492080,487020,492080,489080,713,0.15%,2023/02/12,1401/11/23
481157,474661,494911,488367,4107,0.85%,2023/02/08,1401/11/19
474970,474970,479550,478100,4770,1.01%,2023/02/07,1401/11/18
482480,472340,482480,473330,9160,1.94%,2023/02/06,1401/11/17
482950,481870,484950,482490,6128,1.27%,2023/02/05,1401/11/16
488631,479383,491269,488618,6442,1.32%,2023/02/01,1401/11/12
486620,483310,489180,488160,2330,0.48%,2023/01/31,1401/11/11
483740,480850,486040,485830,1410,0.29%,2023/01/30,1401/11/10
486710,482810,489670,484420,3000,0.62%,2023/01/29,1401/11/09
476160,475070,488430,487420,155,0.03%,2023/01/28,1401/11/08
477204,474483,491260,487265,1875,0.39%,2023/01/25,1401/11/05
475250,465960,480960,476690,2110,0.44%,2023/01/24,1401/11/04
488400,473110,488400,474580,12800,2.7%,2023/01/23,1401/11/03
489580,484670,492700,487380,720,0.15%,2023/01/22,1401/11/02
488480,483020,493560,488100,1214,0.25%,2023/01/21,1401/11/01
468031,461197,491998,486886,23366,5.04%,2023/01/18,1401/10/28
453030,453030,468740,467370,14620,3.23%,2023/01/17,1401/10/27
449350,448440,455010,452750,7490,1.68%,2023/01/16,1401/10/26
444030,442600,445420,445260,1140,0.26%,2023/01/15,1401/10/25
443510,441850,444340,444120,1265,0.29%,2023/01/14,1401/10/24
441925,438698,450516,442855,5,-,2023/01/11,1401/10/21
435500,435500,441760,437470,200,0.05%,2023/01/10,1401/10/20
437820,428260,446750,437270,670,0.15%,2023/01/08,1401/10/18
439350,433850,445450,436280,13130,3.1%,2023/01/07,1401/10/17
423150,423150,423150,423150,-,-,2023/01/05,1401/10/15
416600,416240,425050,423150,2360,0.56%,2023/01/04,1401/10/14
419630,417860,425060,420790,2470,0.59%,2023/01/03,1401/10/13
435290,414960,435630,418320,16950,4.05%,2023/01/02,1401/10/12
438860,435190,438940,435270,4700,1.08%,2023/01/01,1401/10/11
427270,424030,441270,439970,19320,4.39%,2022/12/31,1401/10/10
459290,459290,459290,459290,5340,1.16%,2022/12/29,1401/10/08
467480,461200,467480,464630,26480,6.04%,2022/12/28,1401/10/07
438150,438150,438150,438150,-,-,2022/12/26,1401/10/05
432890,432890,442360,438150,6000,1.39%,2022/12/25,1401/10/04
428010,427470,434300,432150,12400,2.95%,2022/12/24,1401/10/03
419750,419750,419750,419750,-,-,2022/12/22,1401/10/01
418560,418560,421720,419750,2380,0.57%,2022/12/21,1401/09/30
412300,411580,419670,417370,4750,1.15%,2022/12/20,1401/09/29
418010,409580,418870,412620,5130,1.24%,2022/12/19,1401/09/28
414390,414100,418300,417750,4530,1.1%,2022/12/18,1401/09/27
415060,411100,416280,413220,8370,2.07%,2022/12/17,1401/09/26
404850,404850,404850,404850,-,-,2022/12/15,1401/09/24
406130,402220,407410,404850,370,0.09%,2022/12/14,1401/09/23
407320,402400,410120,405220,3170,0.78%,2022/12/13,1401/09/22
399140,398370,408940,408390,10840,2.73%,2022/12/12,1401/09/21
390510,390510,399330,397550,6530,1.67%,2022/12/11,1401/09/20
388330,387330,391720,391020,8091,2.11%,2022/12/10,1401/09/19
384341,375921,388338,382929,1859,0.49%,2022/12/07,1401/09/16
375940,374850,380650,378820,600,0.16%,2022/12/06,1401/09/15
378190,376770,379430,378220,1250,0.33%,2022/12/05,1401/09/14
380410,378820,383250,379470,310,0.08%,2022/12/04,1401/09/13
375430,374880,380310,379780,5020,1.34%,2022/12/03,1401/09/12
374760,374760,374760,374760,-,-,2022/12/01,1401/09/10
373070,367530,376610,374760,6650,1.81%,2022/11/30,1401/09/09
364780,363750,369820,368110,1690,0.46%,2022/11/29,1401/09/08
371680,369350,372830,369800,2250,0.61%,2022/11/28,1401/09/07
371920,371290,378210,372050,2000,0.54%,2022/11/27,1401/09/06
367920,367560,374500,374050,5940,1.61%,2022/11/26,1401/09/05
368110,368110,368110,368110,-,-,2022/11/24,1401/09/03
369540,366510,370210,368110,960,0.26%,2022/11/23,1401/09/02
367560,365510,368490,367150,1620,0.44%,2022/11/22,1401/09/01
365900,361680,365900,365530,180,0.05%,2022/11/21,1401/08/30
362730,362730,366240,365710,1030,0.28%,2022/11/20,1401/08/29
361070,361070,365710,364680,3320,0.92%,2022/11/19,1401/08/28
361360,361360,361360,361360,-,-,2022/11/17,1401/08/26
370430,360580,370970,361360,7750,2.14%,2022/11/16,1401/08/25
368630,367970,369680,369110,250,0.07%,2022/11/15,1401/08/24
371070,364730,371720,368860,830,0.23%,2022/11/14,1401/08/23
365870,362170,370070,369690,2700,0.74%,2022/11/13,1401/08/22
361840,361060,368270,366990,17700,5.07%,2022/11/12,1401/08/21
349290,349290,349290,349290,-,-,2022/11/10,1401/08/19
353630,347750,354260,349290,5780,1.65%,2022/11/09,1401/08/18
364360,354610,364910,355070,9690,2.73%,2022/11/08,1401/08/17
361790,359220,367600,364760,2650,0.73%,2022/11/07,1401/08/16
360390,358640,362320,362110,760,0.21%,2022/11/06,1401/08/15
359340,354970,361650,361350,20640,6.06%,2022/11/05,1401/08/14
340710,340710,340710,340710,-,-,2022/11/03,1401/08/12
338620,337200,341310,340710,680,0.2%,2022/11/02,1401/08/11
334640,330520,343310,341390,10890,3.3%,2022/11/01,1401/08/10
329660,329660,333390,330500,1860,0.57%,2022/10/31,1401/08/09
327930,327890,330770,328640,150,0.05%,2022/10/30,1401/08/08
328140,327220,329010,328790,1610,0.49%,2022/10/29,1401/08/07
330400,330400,330400,330400,-,-,2022/10/27,1401/08/05
329620,329620,333310,330400,500,0.15%,2022/10/26,1401/08/04
328870,327160,330230,329900,2640,0.81%,2022/10/25,1401/08/03
322640,322640,328140,327260,3890,1.2%,2022/10/24,1401/08/02
322620,320260,323820,323370,400,0.12%,2022/10/23,1401/08/01
323200,323110,324590,323770,3760,1.17%,2022/10/22,1401/07/30
320010,320010,320010,320010,-,-,2022/10/20,1401/07/28
320920,318630,321230,320010,540,0.17%,2022/10/19,1401/07/27
322770,320300,324160,320550,2960,0.92%,2022/10/18,1401/07/26
321890,321090,323670,323510,60,0.02%,2022/10/17,1401/07/25
321200,320070,323690,323570,1580,0.49%,2022/10/16,1401/07/24
319010,319010,322420,321990,3870,1.22%,2022/10/15,1401/07/23
318120,318120,318120,318120,-,-,2022/10/13,1401/07/21
316490,315990,320840,318120,1680,0.53%,2022/10/12,1401/07/20
318140,315240,318490,316440,3410,1.08%,2022/10/11,1401/07/19
315460,315270,319900,319850,4800,1.52%,2022/10/10,1401/07/18
314310,311200,317000,315050,160,0.05%,2022/10/09,1401/07/17
317960,314730,317960,314890,536,0.17%,2022/10/08,1401/07/16
323589,312397,327698,315426,15024,4.76%,2022/10/05,1401/07/13
330450,330450,330450,330450,-,-,2022/10/04,1401/07/12
329000,326790,330700,330450,4530,1.39%,2022/10/03,1401/07/11
325350,323680,328380,325920,950,0.29%,2022/10/02,1401/07/10
324580,319280,326050,324970,15010,4.84%,2022/10/01,1401/07/09
309960,309960,309960,309960,-,-,2022/09/29,1401/07/07
307590,306930,310510,309960,5170,1.7%,2022/09/28,1401/07/06
304790,304790,304790,304790,2540,0.83%,2022/09/26,1401/07/04
307330,307330,307330,307330,5060,1.65%,2022/09/24,1401/07/02
312390,312390,312390,312390,-,-,2022/09/22,1401/06/31
311900,310720,313990,312390,710,0.23%,2022/09/21,1401/06/30
314710,312480,314710,313100,3510,1.12%,2022/09/20,1401/06/29
317710,315400,318690,316610,110,0.03%,2022/09/19,1401/06/28
314950,313980,317040,316720,1620,0.51%,2022/09/18,1401/06/27
315100,315100,315100,315100,-,-,2022/09/15,1401/06/24
314760,312610,316640,315100,1530,0.49%,2022/09/14,1401/06/23
316390,311330,316530,313570,3590,1.14%,2022/09/13,1401/06/22
314280,313840,321250,317160,3330,1.06%,2022/09/12,1401/06/21
311880,311780,315160,313830,5690,1.85%,2022/09/11,1401/06/20
305310,305130,308740,308140,5530,1.83%,2022/09/10,1401/06/19
302610,302610,302610,302610,-,-,2022/09/08,1401/06/17
302510,301020,303540,302610,2110,0.7%,2022/09/07,1401/06/16
298110,296680,300910,300500,730,0.24%,2022/09/06,1401/06/15
299660,298160,302680,299770,1320,0.44%,2022/09/05,1401/06/14
299640,297460,299730,298450,2880,0.96%,2022/09/04,1401/06/13
298640,298610,302000,301330,3340,1.12%,2022/09/03,1401/06/12
297990,297990,297990,297990,-,-,2022/09/01,1401/06/10
298920,297960,299510,297990,2600,0.87%,2022/08/31,1401/06/09
298450,298450,301900,300590,2760,0.93%,2022/08/30,1401/06/08
297180,294690,299010,297830,21770,7.31%,2022/08/29,1401/06/07
320400,313900,326400,319600,6800,2.17%,2022/08/27,1401/06/05
310700,309100,315900,312800,14000,4.69%,2022/08/26,1401/06/04
322500,292600,325500,298800,9000,3.01%,2022/08/24,1401/06/02
306500,302200,312500,307800,4200,1.38%,2022/08/23,1401/06/01
303500,299300,306200,303600,10400,3.43%,2022/08/22,1401/05/31
310000,305300,318100,314000,200,0.06%,2022/08/21,1401/05/30
318900,311900,324500,313800,7800,2.55%,2022/08/20,1401/05/29
301300,299400,308500,306000,5700,1.86%,2022/08/19,1401/05/28
309400,306900,316000,311700,1800,0.58%,2022/08/17,1401/05/26
311700,305800,315200,313500,7600,2.42%,2022/08/16,1401/05/25
303300,300400,323100,321100,8000,2.56%,2022/08/15,1401/05/24
309100,303900,316300,313100,4100,1.31%,2022/08/14,1401/05/23
310900,307100,319400,317200,8700,2.82%,2022/08/13,1401/05/22
317200,303500,321800,308500,4000,1.3%,2022/08/12,1401/05/21
320700,308700,326600,312500,7000,2.29%,2022/08/10,1401/05/19
310300,300600,313300,305500,4500,1.47%,2022/08/09,1401/05/18
320000,304000,324600,310000,2500,0.81%,2022/08/08,1401/05/17
303100,298300,318000,312500,11400,3.79%,2022/08/05,1401/05/14
317600,296500,323500,301100,21900,7.27%,2022/08/03,1401/05/12
327000,327000,327000,327000,3164,0.98%,2022/08/02,1401/05/11
322290,316392,329373,323836,1348,0.42%,2022/07/31,1401/05/09
324970,317392,330754,322488,1799,0.56%,2022/07/30,1401/05/08
324474,319584,327880,324287,470,0.15%,2022/07/29,1401/05/07
326154,318700,327850,323817,1278,0.4%,2022/07/27,1401/05/05
323021,318894,327866,322539,1110,0.34%,2022/07/26,1401/05/04
325348,319765,329675,323649,58,0.02%,2022/07/25,1401/05/03
326161,319369,328672,323707,326,0.1%,2022/07/24,1401/05/02
324948,319662,329887,323381,3059,0.95%,2022/07/23,1401/05/01
322645,316837,331793,326440,464,0.14%,2022/07/22,1401/04/31
322492,318041,331484,325976,2156,0.67%,2022/07/20,1401/04/29
322196,319199,327220,323820,3047,0.94%,2022/07/19,1401/04/28
323353,318373,331639,326867,1452,0.45%,2022/07/18,1401/04/27
326616,322974,333148,325415,1062,0.33%,2022/07/16,1401/04/25
323368,321751,330133,326477,464,0.14%,2022/07/15,1401/04/24
323407,320043,330348,326013,790,0.24%,2022/07/13,1401/04/22
323095,317279,329450,326803,4360,1.35%,2022/07/12,1401/04/21
326363,320637,329985,322443,27,0.01%,2022/07/11,1401/04/20
323334,319610,329865,322416,2959,0.92%,2022/07/10,1401/04/19
323025,318115,329637,325375,998,0.31%,2022/07/08,1401/04/17
325470,321108,331105,326373,2973,0.92%,2022/07/06,1401/04/15
323379,318237,329318,323400,1140,0.35%,2022/07/05,1401/04/14
325701,319055,329641,324540,969,0.3%,2022/07/04,1401/04/13
322822,319109,327559,325509,1839,0.57%,2022/07/03,1401/04/12
322648,318453,325288,323670,2003,0.62%,2022/07/02,1401/04/11
326003,323165,329589,325673,3343,1.04%,2022/07/01,1401/04/10
324382,316205,329345,322330,2608,0.81%,2022/06/29,1401/04/08
324205,321384,328674,324938,3040,0.94%,2022/06/28,1401/04/07
325258,316007,330006,321898,2458,0.76%,2022/06/27,1401/04/06
323768,321598,331135,324356,751,0.23%,2022/06/26,1401/04/05
325142,319980,331579,323605,1193,0.37%,2022/06/25,1401/04/04
326651,318220,332498,322412,3295,1.02%,2022/06/24,1401/04/03
325228,320869,332449,325707,747,0.23%,2022/06/22,1401/04/01
326419,321352,332327,324960,1307,0.4%,2022/06/21,1401/03/31
323947,319574,327963,323653,176,0.05%,2022/06/20,1401/03/30
323755,317927,327617,323829,2011,0.62%,2022/06/19,1401/03/29
322432,317240,331118,325840,3889,1.21%,2022/06/18,1401/03/28
322338,315833,328172,321951,4201,1.3%,2022/06/17,1401/03/27
323651,319184,330261,326152,2176,0.67%,2022/06/15,1401/03/25
326506,319148,330228,323976,1457,0.45%,2022/06/14,1401/03/24
326288,323252,328898,325433,1012,0.31%,2022/06/13,1401/03/23
323228,318993,332157,326445,2379,0.73%,2022/06/12,1401/03/22
324072,320501,326016,324066,1404,0.44%,2022/06/11,1401/03/21
322930,320145,324770,322662,740,0.23%,2022/06/10,1401/03/20
323757,317157,327674,321922,2567,0.8%,2022/06/08,1401/03/18
324706,318680,329933,324489,1786,0.55%,2022/06/07,1401/03/17
325378,318475,329445,322703,676,0.21%,2022/06/06,1401/03/16
322994,318033,325836,322027,2498,0.78%,2022/06/05,1401/03/15
323519,317598,328094,324525,2648,0.82%,2022/06/01,1401/03/11
322964,317177,326129,321877,3039,0.94%,2022/05/31,1401/03/10
322981,321333,329497,324916,2676,0.83%,2022/05/30,1401/03/09
323251,317664,325966,322240,946,0.29%,2022/05/29,1401/03/08
323948,319986,328062,323186,3489,1.08%,2022/05/28,1401/03/07
322445,317447,331117,326675,3842,1.19%,2022/05/27,1401/03/06
326864,318087,329086,322833,4011,1.24%,2022/05/25,1401/03/04
322508,318121,333184,326844,682,0.21%,2022/05/24,1401/03/03
323120,319565,333011,326162,2992,0.93%,2022/05/23,1401/03/02
325274,321166,327811,323170,403,0.12%,2022/05/22,1401/03/01
322069,316915,326737,322767,3501,1.08%,2022/05/21,1401/02/31
324957,322259,328747,326268,2506,0.77%,2022/05/20,1401/02/30
323545,316977,328974,323762,1348,0.42%,2022/05/18,1401/02/28
323255,317759,327060,325110,359,0.11%,2022/05/17,1401/02/27
326184,320294,330685,325469,3709,1.15%,2022/05/16,1401/02/26
321760,318360,321760,321760,3400,1.07%,2022/05/15,1401/02/25
318480,311380,318600,318360,3400,1.07%,2022/05/14,1401/02/24
321760,321760,321760,321760,7670,2.44%,2022/05/12,1401/02/22
307020,306970,316860,314090,5136,1.66%,2022/05/11,1401/02/21
306091,303397,311023,308954,2344,0.76%,2022/05/09,1401/02/19
300160,299470,304660,300710,1510,0.5%,2022/05/08,1401/02/18
299670,298780,303190,299200,650,0.22%,2022/05/07,1401/02/17
299850,299850,299850,299850,3100,1.04%,2022/05/05,1401/02/15
296750,296750,296750,296750,-,-,2022/05/02,1401/02/12
296380,295960,300840,296750,300,0.1%,2022/05/01,1401/02/11
296260,296210,299990,297050,1560,0.53%,2022/04/30,1401/02/10
295490,295490,295490,295490,-,-,2022/04/28,1401/02/08
295370,294760,300630,295490,610,0.21%,2022/04/27,1401/02/07
296730,295270,300840,296100,1620,0.55%,2022/04/26,1401/02/06
298340,297480,300060,297720,540,0.18%,2022/04/25,1401/02/05
298150,297170,299150,298260,4940,1.66%,2022/04/24,1401/02/04
303200,303200,303200,303200,-,-,2022/04/21,1401/02/01
301330,301200,305050,303200,1890,0.63%,2022/04/20,1401/01/31
299030,298830,302420,301310,2540,0.85%,2022/04/19,1401/01/30
299080,298350,300960,298770,600,0.2%,2022/04/18,1401/01/29
301580,299320,303230,299370,3410,1.14%,2022/04/17,1401/01/28
301540,301520,305900,302780,120,0.04%,2022/04/16,1401/01/27
302660,302660,302660,302660,-,-,2022/04/14,1401/01/25
303680,301940,303720,302660,570,0.19%,2022/04/13,1401/01/24
304490,300770,304820,302090,3350,1.11%,2022/04/12,1401/01/23
305070,304960,307350,305440,80,0.03%,2022/04/11,1401/01/22
304560,304090,307620,305360,940,0.31%,2022/04/10,1401/01/21
301800,301050,304750,304420,3080,1.02%,2022/04/09,1401/01/20
301340,301340,301340,301340,-,-,2022/04/07,1401/01/18
299390,298910,302680,301340,2490,0.83%,2022/04/06,1401/01/17
301400,297700,301650,298850,4160,1.39%,2022/04/05,1401/01/16
298300,298300,304470,303010,4020,1.34%,2022/04/04,1401/01/15
297210,296590,300020,298990,2300,0.77%,2022/04/03,1401/01/14
301290,301290,301290,301290,-,-,2022/03/31,1401/01/11
302020,300440,302480,301290,860,0.29%,2022/03/30,1401/01/10
302190,299780,302490,302150,2010,0.67%,2022/03/29,1401/01/09
293930,293460,301260,300140,7470,2.55%,2022/03/28,1401/01/08
287950,287500,293900,292670,4240,1.47%,2022/03/27,1401/01/07
288010,287890,288610,288430,597,0.21%,2022/03/26,1401/01/06
289435,286454,292213,289027,1003,0.35%,2022/03/18,1400/12/27
290030,290030,290030,290030,-,-,2022/03/17,1400/12/26
289240,289110,309380,290030,250,0.09%,2022/03/16,1400/12/25
288030,287770,291440,290280,1480,0.51%,2022/03/15,1400/12/24
290840,288470,292410,288800,830,0.29%,2022/03/14,1400/12/23
287760,287100,289780,289630,340,0.12%,2022/03/13,1400/12/22
285550,285450,291180,289290,3580,1.25%,2022/03/12,1400/12/21
285710,285710,285710,285710,-,-,2022/03/10,1400/12/19
286150,284290,286660,285710,570,0.2%,2022/03/09,1400/12/18
283680,280060,286380,286280,1820,0.64%,2022/03/08,1400/12/17
283040,282950,287830,284460,2020,0.72%,2022/03/07,1400/12/16
280040,279210,284420,282440,2080,0.74%,2022/03/06,1400/12/15
279030,277540,300980,280360,6430,2.29%,2022/03/05,1400/12/14
286790,286790,286790,286790,-,-,2022/03/03,1400/12/12
286640,286390,289100,286790,7850,2.74%,2022/03/02,1400/12/11
294640,294640,294640,294640,-,-,2022/02/28,1400/12/09
293340,292980,295110,294640,1480,0.5%,2022/02/27,1400/12/08
293180,292960,309840,296120,4120,1.41%,2022/02/26,1400/12/07
292000,292000,292000,292000,-,-,2022/02/24,1400/12/05
294110,291090,308770,292000,1580,0.54%,2022/02/23,1400/12/04
296810,293580,297890,293580,1840,0.63%,2022/02/22,1400/12/03
292050,291840,297380,295420,2780,0.95%,2022/02/21,1400/12/02
290500,289790,293000,292640,4880,1.7%,2022/02/20,1400/12/01
293090,287710,293090,287760,9781,3.4%,2022/02/19,1400/11/30
295204,292812,299802,297541,1609,0.54%,2022/02/16,1400/11/27
306247,298593,309125,304563,67,0.02%,2022/02/13,1400/11/24
300280,300040,305170,304990,5030,1.68%,2022/02/12,1400/11/23
299960,299960,299960,299960,-,-,2022/02/10,1400/11/21
299750,299380,300370,299960,100,0.03%,2022/02/09,1400/11/20
301000,297870,301030,300060,2660,0.89%,2022/02/08,1400/11/19
298970,295600,307130,297400,5060,1.7%,2022/02/07,1400/11/18
304990,301310,312160,302460,3980,1.32%,2022/02/06,1400/11/17
299070,298930,306660,306440,1220,0.4%,2022/02/05,1400/11/16
307660,307660,307660,307660,-,-,2022/02/03,1400/11/14
308330,307040,309540,307660,210,0.07%,2022/02/02,1400/11/13
308980,307340,309940,307870,1150,0.37%,2022/02/01,1400/11/12
314430,308400,315190,309020,2660,0.86%,2022/01/31,1400/11/11
313790,310830,314130,311680,1830,0.59%,2022/01/30,1400/11/10
312390,312250,314090,313510,1030,0.33%,2022/01/29,1400/11/09
312480,312480,312480,312480,-,-,2022/01/27,1400/11/07
313400,311760,314140,312480,4380,1.4%,2022/01/26,1400/11/06
317600,316170,320260,316860,990,0.31%,2022/01/25,1400/11/05
317250,315470,317730,315870,3180,1.01%,2022/01/24,1400/11/04
318840,318240,333350,319050,1540,0.49%,2022/01/23,1400/11/03
314230,313780,317690,317510,5270,1.69%,2022/01/22,1400/11/02
312240,312240,312240,312240,1260,0.4%,2022/01/20,1400/10/30
313500,313500,313500,313500,1540,0.49%,2022/01/19,1400/10/29
311020,310550,313290,311960,2010,0.65%,2022/01/18,1400/10/28
309850,309170,313020,309950,1350,0.44%,2022/01/17,1400/10/27
310300,310300,312150,311300,2790,0.9%,2022/01/16,1400/10/26
315650,312190,315820,314090,6570,2.09%,2022/01/15,1400/10/25
320660,320660,320660,320660,-,-,2022/01/13,1400/10/23
318850,317280,321390,320660,3940,1.24%,2022/01/12,1400/10/22
318510,314040,318960,316720,1900,0.6%,2022/01/11,1400/10/21
321110,316660,332150,318620,2690,0.85%,2022/01/10,1400/10/20
310130,308500,316050,315930,4880,1.57%,2022/01/09,1400/10/19
318100,310870,320210,311050,13470,4.33%,2022/01/08,1400/10/18
324520,324520,324520,324520,-,-,2022/01/05,1400/10/15
327320,321910,327740,324520,3430,1.06%,2022/01/04,1400/10/14
330940,326810,331460,327950,2510,0.77%,2022/01/03,1400/10/13
333670,330130,334030,330460,5590,1.69%,2022/01/02,1400/10/12
336770,333630,336820,336050,2270,0.68%,2022/01/01,1400/10/11
338320,338320,338320,338320,-,-,2021/12/30,1400/10/09
336950,336380,350880,338320,1510,0.45%,2021/12/29,1400/10/08
335440,334060,337770,336810,2700,0.81%,2021/12/28,1400/10/07
310300,309960,335000,334110,2190,0.66%,2021/12/27,1400/10/06
310210,309620,310570,336300,26160,8.43%,2021/12/26,1400/10/05
310250,310060,310250,310140,220,0.07%,2021/12/25,1400/10/04
309920,309920,309920,309920,-,-,2021/12/23,1400/10/02
310570,309540,310710,309920,610,0.2%,2021/12/22,1400/10/01
307630,307390,310850,310530,2990,0.97%,2021/12/21,1400/09/30
309080,307310,309730,307540,2110,0.69%,2021/12/20,1400/09/29
308300,308120,323210,309650,1740,0.57%,2021/12/19,1400/09/28
308400,307850,323210,307910,3140,1.02%,2021/12/18,1400/09/27
311050,311050,311050,311050,-,-,2021/12/16,1400/09/25
309720,309470,311080,311050,2160,0.7%,2021/12/15,1400/09/24
309010,308370,309310,308890,170,0.06%,2021/12/14,1400/09/23
309880,308890,310890,309060,1240,0.4%,2021/12/13,1400/09/22
312650,309590,312650,310300,2910,0.94%,2021/12/12,1400/09/21
313340,313140,313400,313210,420,0.13%,2021/12/11,1400/09/20
313630,313630,313630,313630,-,-,2021/12/09,1400/09/18
314690,313290,314690,313630,1090,0.35%,2021/12/08,1400/09/17
314010,312860,315000,314720,1940,0.62%,2021/12/07,1400/09/16
314190,312410,328180,312780,1130,0.36%,2021/12/06,1400/09/15
314330,313560,328180,313910,1400,0.45%,2021/12/05,1400/09/14
316620,315270,316640,315310,5480,1.77%,2021/12/04,1400/09/13
309830,309830,309830,309830,-,-,2021/12/02,1400/09/11
301530,301190,310140,309830,8260,2.74%,2021/12/01,1400/09/10
326970,294290,326970,301570,24360,8.08%,2021/11/30,1400/09/09
312230,312120,331620,325930,4570,1.4%,2021/11/29,1400/09/08
329000,329000,330500,330500,20720,6.69%,2021/11/28,1400/09/07
316680,309600,322830,309780,13590,4.39%,2021/11/27,1400/09/06
323370,323370,323370,323370,-,-,2021/11/25,1400/09/04
324370,322780,324550,323370,2620,0.81%,2021/11/24,1400/09/03
322530,322370,327700,325990,3600,1.12%,2021/11/23,1400/09/02
320350,318990,336300,322390,2570,0.8%,2021/11/22,1400/09/01
318760,317500,334650,319820,600,0.19%,2021/11/21,1400/08/30
316310,316010,319730,319220,70,0.02%,2021/11/20,1400/08/29
319150,319150,319150,319150,-,-,2021/11/18,1400/08/27
320510,318710,320780,319150,1510,0.47%,2021/11/17,1400/08/26
321160,319850,321400,320660,1320,0.41%,2021/11/16,1400/08/25
318380,317900,320320,319340,990,0.31%,2021/11/15,1400/08/24
326800,308670,326860,320330,6110,1.91%,2021/11/14,1400/08/23
327940,326100,329050,326440,630,0.19%,2021/11/13,1400/08/22
325810,325810,325810,325810,-,-,2021/11/11,1400/08/20
325800,324610,326440,325810,1280,0.39%,2021/11/10,1400/08/19
325490,325490,328440,327090,1860,0.57%,2021/11/09,1400/08/18
325340,324780,326750,325230,480,0.15%,2021/11/08,1400/08/17
323760,323390,325720,324750,850,0.26%,2021/11/07,1400/08/16
321850,320690,324050,323900,4220,1.32%,2021/11/06,1400/08/15
319680,319680,319680,319680,-,-,2021/11/04,1400/08/13
323030,319250,323050,319680,3600,1.13%,2021/11/03,1400/08/12
319770,319470,323510,323280,3620,1.13%,2021/11/02,1400/08/11
319110,318960,320350,319660,790,0.25%,2021/11/01,1400/08/10
318740,318310,319650,318870,40,0.01%,2021/10/31,1400/08/09
319090,317090,319170,318910,2970,0.93%,2021/10/30,1400/08/08
321880,321880,321880,321880,-,-,2021/10/28,1400/08/06
321230,320300,322270,321880,590,0.18%,2021/10/27,1400/08/05
319810,319550,323120,321290,1870,0.59%,2021/10/26,1400/08/04
319870,318370,324710,319420,1950,0.61%,2021/10/25,1400/08/03
321370,321370,321370,321370,1970,0.62%,2021/10/23,1400/08/01
319400,319400,319400,319400,-,-,2021/10/21,1400/07/29
317900,317900,319910,319400,1180,0.37%,2021/10/20,1400/07/28
319980,317190,320010,318220,1630,0.51%,2021/10/19,1400/07/27
317570,317540,320790,319850,3230,1.02%,2021/10/18,1400/07/26
314740,313910,317180,316620,1270,0.4%,2021/10/17,1400/07/25
316550,314560,316760,315350,1310,0.42%,2021/10/16,1400/07/24
314040,314040,314040,314040,-,-,2021/10/14,1400/07/22
315530,313910,316350,314040,380,0.12%,2021/10/13,1400/07/21
312620,311940,315410,314420,1820,0.58%,2021/10/12,1400/07/20
319350,315880,319750,316240,1380,0.44%,2021/10/11,1400/07/19
319500,315680,322110,317620,1280,0.4%,2021/10/09,1400/07/17
322600,322600,322600,322600,4240,1.31%,2021/10/06,1400/07/14
326840,326840,326840,326840,-,-,2021/10/04,1400/07/12
325380,324490,327790,326840,1720,0.53%,2021/10/03,1400/07/11
326810,324150,326860,325120,4770,1.47%,2021/10/02,1400/07/10
327790,326970,329950,329890,1910,0.58%,2021/09/30,1400/07/08
327830,327690,330380,327980,30,0.01%,2021/09/29,1400/07/07
323720,323470,328860,328010,3690,1.14%,2021/09/28,1400/07/06
324320,324320,324320,324320,1410,0.44%,2021/09/26,1400/07/04
324440,322150,324450,322910,1680,0.52%,2021/09/25,1400/07/03
322520,322250,324810,324590,1340,0.41%,2021/09/23,1400/07/01
321360,321320,324000,323250,1990,0.62%,2021/09/22,1400/06/31
321950,320780,324280,321260,-,-,2021/09/21,1400/06/30
321950,320780,324280,321260,800,0.25%,2021/09/20,1400/06/29
321850,320180,323200,322060,110,0.03%,2021/09/19,1400/06/28
320950,319940,322480,321950,1010,0.31%,2021/09/18,1400/06/27
322960,322960,322960,322960,-,-,2021/09/16,1400/06/25
316780,316740,322960,322960,910,0.28%,2021/09/15,1400/06/24
316820,316740,322050,322050,5200,1.64%,2021/09/14,1400/06/23
314390,313940,316850,316850,2520,0.8%,2021/09/13,1400/06/22
316660,311390,316660,314330,2230,0.71%,2021/09/12,1400/06/21
316590,315540,316660,316560,990,0.31%,2021/09/11,1400/06/20
315570,315570,315570,315570,-,-,2021/09/09,1400/06/18
315590,315480,315590,315570,660,0.21%,2021/09/08,1400/06/17
