Open Price,Low Price,High Price,Close Price,Change Amount,Change Percent,Gregorian Date,Persian Date
1642200,1642100,1701400,1686100,51600,3.16%,2025/12/28,1404/10/07
1582800,1582600,1634900,1634500,51100,3.23%,2025/12/27,1404/10/06
1597800,1576200,1597900,1583400,11200,0.71%,2025/12/25,1404/10/04
1588300,1580800,1607400,1594600,7600,0.48%,2025/12/24,1404/10/03
1554000,1554000,1587500,1587000,23200,1.48%,2025/12/23,1404/10/02
1536100,1525300,1564300,1563800,26700,1.74%,2025/12/22,1404/10/01
1546300,1520400,1546700,1537100,11300,0.74%,2025/12/21,1404/09/30
1533900,1533900,1556600,1548400,3900,0.25%,2025/12/20,1404/09/29
1552800,1542600,1553200,1544500,8500,0.55%,2025/12/18,1404/09/27
1523600,1522800,1553200,1553000,24400,1.6%,2025/12/17,1404/09/26
1531000,1520100,1531700,1528600,5200,0.34%,2025/12/16,1404/09/25
1525700,1525400,1546300,1533800,10900,0.72%,2025/12/15,1404/09/24
1509600,1497200,1523800,1522900,8600,0.57%,2025/12/14,1404/09/23
1475700,1474900,1515900,1514300,40600,2.75%,2025/12/13,1404/09/22
1458500,1448700,1474200,1473700,18900,1.3%,2025/12/11,1404/09/20
1455000,1445200,1456200,1454800,900,0.06%,2025/12/10,1404/09/19
1467200,1446200,1474900,1453900,13800,0.95%,2025/12/09,1404/09/18
1447100,1446600,1468600,1467700,23800,1.65%,2025/12/08,1404/09/17
1422100,1422100,1444100,1443900,23300,1.64%,2025/12/07,1404/09/16
1394200,1394100,1423100,1420600,23900,1.71%,2025/12/06,1404/09/15
1402900,1394600,1406200,1396700,8500,0.61%,2025/12/04,1404/09/13
1387000,1386600,1409500,1405200,27500,2%,2025/12/03,1404/09/12
1383500,1368100,1383700,1377700,5600,0.41%,2025/12/02,1404/09/11
1365600,1364800,1390300,1383300,21200,1.56%,2025/12/01,1404/09/10
1345100,1345000,1362300,1362100,18100,1.35%,2025/11/30,1404/09/09
1322500,1322400,1344300,1344000,21100,1.59%,2025/11/29,1404/09/08
1316600,1316200,1326800,1322900,4500,0.34%,2025/11/27,1404/09/06
1314000,1310300,1319900,1318400,5800,0.44%,2025/11/26,1404/09/05
1306000,1299800,1315900,1312600,2700,0.21%,2025/11/25,1404/09/04
1298500,1296400,1310600,1309900,9700,0.75%,2025/11/23,1404/09/02
1306900,1298700,1307200,1300200,6900,0.53%,2025/11/22,1404/09/01
1307500,1304800,1315400,1307100,1400,0.11%,2025/11/20,1404/08/29
1306000,1295400,1313100,1308500,5900,0.45%,2025/11/19,1404/08/28
